pos:0, dYdX:-0.6153588; totalDist:0; dist:0; theta:-58.39358; fieldPos:(-3.552408, -57.58614);
pos:1, dYdX:-0.466648; totalDist:4.819958; dist:4.819958; theta:-64.98399; fieldPos:(-7.657413, -55.06009);
pos:2, dYdX:-0.249994; totalDist:10.04685; dist:5.226893; theta:-75.96408; fieldPos:(-12.39397, -52.84978);
pos:3, dYdX:-1.333273; totalDist:11.3488; dist:1.301948; theta:-36.87114; fieldPos:(-13.65705, -52.53402);
pos:4, dYdX:-1.124951; totalDist:12.9276; dist:1.5788; theta:-41.63479; fieldPos:(-14.60435, -51.271);
pos:5, dYdX:-1.599931; totalDist:16.72988; dist:3.80228; theta:-32.0065; fieldPos:(-17.13051, -48.4292);
pos:6, dYdX:-0.8333045; totalDist:25.66651; dist:8.936636; theta:-50.1954; fieldPos:(-21.86707, -40.85104);
pos:7, dYdX:-1.09086; totalDist:28.13271; dist:2.466191; theta:-42.51175; fieldPos:(-23.76167, -39.27225);
pos:8, dYdX:-0.888855; totalDist:33.27296; dist:5.14026; theta:-48.36754; fieldPos:(-27.23516, -35.48317);
pos:9, dYdX:-1.499932; totalDist:37.07526; dist:3.80229; theta:-33.69127; fieldPos:(-30.07708, -32.95712);
pos:10, dYdX:-1.79993; totalDist:41.62923; dist:4.553973; theta:-29.05555; fieldPos:(-32.60324, -29.16804);
pos:11, dYdX:-2.59988; totalDist:44.88018; dist:3.250955; theta:-21.0384; fieldPos:(-34.18209, -26.32622);
pos:12, dYdX:-3.499888; totalDist:49.27818; dist:4.398; theta:-15.94588; fieldPos:(-35.76095, -22.22139);
pos:13, dYdX:-2.599902; totalDist:51.57693; dist:2.298753; theta:-21.03823; fieldPos:(-36.39248, -20.01109);
pos:14, dYdX:-8.999229; totalDist:55.97494; dist:4.398002; theta:-6.34069; fieldPos:(-37.97132, -15.90625);
pos:15, dYdX:1000; totalDist:58.83424; dist:2.859308; theta:0.05595291; fieldPos:(-38.28711, -13.06444);
pos:16, dYdX:1000; totalDist:61.04453; dist:2.210286; theta:0.05595291; fieldPos:(-38.28711, -10.85415);
pos:17, dYdX:7.999275; totalDist:63.25483; dist:2.210301; theta:7.125657; fieldPos:(-38.28711, -8.643847);
pos:18, dYdX:5.99987; totalDist:65.80054; dist:2.545708; theta:9.462507; fieldPos:(-37.97132, -6.117801);
pos:19, dYdX:7.999873; totalDist:67.72122; dist:1.920685; theta:7.125134; fieldPos:(-37.65556, -4.223249);
pos:20, dYdX:1.666585; totalDist:70.26694; dist:2.545712; theta:30.965; fieldPos:(-37.3398, -1.697197);
pos:21, dYdX:1.666592; totalDist:72.10812; dist:1.841183; theta:30.96489; fieldPos:(-36.39248, -0.1184159);
pos:22, dYdX:1.999914; totalDist:73.9493; dist:1.841182; theta:26.56603; fieldPos:(-35.44517, 1.460365);
pos:23, dYdX:1.399948; totalDist:76.06748; dist:2.11818; theta:35.5387; fieldPos:(-34.49786, 3.354907);
pos:24, dYdX:1.799927; totalDist:78.78377; dist:2.716282; theta:29.05558; fieldPos:(-32.91901, 5.565208);
pos:25, dYdX:1.399938; totalDist:82.03471; dist:3.250946; theta:35.53888; fieldPos:(-31.34017, 8.40702);
pos:26, dYdX:1.294062; totalDist:84.75099; dist:2.716276; theta:37.69543; fieldPos:(-29.76132, 10.61731);
pos:27, dYdX:1.33328; totalDist:93.53008; dist:8.779084; theta:36.87099; fieldPos:(-24.39322, 17.56396);
pos:28, dYdX:1.499953; totalDist:96.68768; dist:3.157611; theta:33.6909; fieldPos:(-22.49861, 20.09001);
pos:29, dYdX:0.666627; totalDist:97.82619; dist:1.138501; theta:56.3115; fieldPos:(-21.86707, 21.03729);
pos:30, dYdX:0; totalDist:98.96469; dist:1.138504; theta:0; fieldPos:(-20.91976, 21.66879);
BREAK
pos:0, dYdX:0.3999761; totalDist:0; dist:0; theta:68.19978; fieldPos:(-16.1832, 22.30032);
